paper,cross,paper_ID,exp_ID,obs_ID,region,duration_first,duration_last,C_type,C_rate,C_calc,C_app,C_total,C_year,plant,plant_category,plant_anper,plant_gfs,seeding_exotic,seeding_native,plot,n_trt,n_cntrl,biomass_mean_trt,biomass_SE_trt,biomass_SD_trt,biomass_mean_cntrl,biomass_SE_cntrl,biomass_SD_cntrl,cover_mean_trt,cover_SE_trt,cover_SD_trt,cover_mean_cntrl,cover_SE_cntrl,cover_SD_cntrl,density_mean_trt,density_SE_trt,density_SD_trt,density_mean_cntrl,density_SE_cntrl,density_SD_cntrl
Averett_2004,,2,3,11,"Midwest, USA",26,26,sawdust,3000,no,1,3000,first year,exotics,exotic,unknown,unknown,0,3230,4,8,8,288.9811834,27.24658261,,476.7172527,50.1960104,,,,,,,,,,,,,
Baer_2004,,3,4,16,"Midwest, USA",30,30,sawdust,2529.244369,yes,1,2529.244369,first year,Physalis virginiana P. Mill.,native perennial forb,perennial,forb,0,160,4,4,4,,,,,,,38.85890517,8.404009252,,55.89822668,6.939090208,,,,,,,
Baer_2004,,3,4,17,"Midwest, USA",30,30,sawdust,2529.244369,yes,1,2529.244369,first year,Sorghastrum nutans (L.) Nash,native perennial graminoid,perennial,graminoid,0,160,4,4,4,,,,,,,12.02775636,1.310717039,,5.628373169,0.925212028,,,,,,,
Baer_2004,,3,4,18,"Midwest, USA",30,30,sawdust,2529.244369,yes,1,2529.244369,first year,Andropogon scoparius Michx.,native perennial graminoid,perennial,graminoid,0,160,4,4,4,,,,,,,3.469545104,0.616808019,,1.619121049,0.616808019,,,,,,,
Baer_2004,shallow soil,3,4,19,"Midwest, USA",30,30,sawdust,2529.244369,yes,1,2529.244369,first year,Andropogon gerardii Vitman,native perennial graminoid,perennial,graminoid,0,160,4,4,4,,,,,,,58.26086957,13.04347826,,61.73913043,7.130434783,,,,,,,
Baer_2004,deep soil,3,4,20,"Midwest, USA",30,30,sawdust,2529.244369,yes,1,2529.244369,first year,Andropogon gerardii Vitman,native perennial graminoid,perennial,graminoid,0,160,4,4,4,,,,,,,85.04347826,8.695652174,,55.65217391,4.52173913,,,,,,,
Beckstead_2004,,4,5,21,"Great Basin, USA",9,2,sucrose,63,no,3,63,relevant,Bromus tectorum L.,exotic annual graminoid,annual,graminoid,0,0,0.09,10,10,1.701219512,0.164634146,,2.402439024,0.292682927,,,,,,,,,,,,,
Belnap_1995,FC/S,5,6,22,"Great Basin, USA",12,2,sucrose,30,no,5,30,relevant,Stipa sp.,native perennial graminoid,perennial,graminoid,0,,50,7,7,,,,,,,,,,,,,14.13671875,3.2265625,,17.0625,3.25390625,
Belnap_1995,FC/M,5,6,23,"Great Basin, USA",6,6,mulch,,,1,,relevant,Stipa sp.,native perennial graminoid,perennial,graminoid,0,,50,7,7,,,,,,,,,,,,,6.1796875,0.51953125,,17.0625,3.25390625,
Belnap_1995,FC/S/M,5,6,24,"Great Basin, USA",9,4,sucrose AND mulch,,,3,,relevant,Stipa sp.,native perennial graminoid,perennial,graminoid,0,,50,7,7,,,,,,,,,,,,,6.15234375,1.2578125,,17.0625,3.25390625,
Belnap_1995,FC/H,5,6,25,"Great Basin, USA",12,12,straw,,,1,,relevant,Stipa sp.,native perennial graminoid,perennial,graminoid,0,,50,7,7,,,,,,,,,,,,,19.00390625,5.4140625,,17.0625,3.25390625,
Belnap_1995,SC/S,5,6,26,"Great Basin, USA",12,2,sucrose,30,no,5,30,relevant,Stipa sp.,native perennial graminoid,perennial,graminoid,0,,50,7,7,,,,,,,,,,,,,18.046875,5.93359375,,11.12890625,3.2265625,
Belnap_1995,SC/M,5,6,27,"Great Basin, USA",6,6,mulch,,,1,,relevant,Stipa sp.,native perennial graminoid,perennial,graminoid,0,,50,7,7,,,,,,,,,,,,,4.18359375,1.75,,11.12890625,3.2265625,
Belnap_1995,FC/S,5,6,28,"Great Basin, USA",12,2,sucrose,30,no,5,30,relevant,Salsola iberica & kali,exotic annual forb,annual,forb,0,,50,7,7,15.35714286,5.714285714,,54.28571429,9.821428571,,,,,,,,,,,,,
Belnap_1995,FC/M,5,6,29,"Great Basin, USA",6,6,mulch,,,1,,relevant,Salsola iberica & kali,exotic annual forb,annual,forb,0,,50,7,7,69.82142857,23.92857143,,54.28571429,9.821428571,,,,,,,,,,,,,
Belnap_1995,FC/S/M,5,6,30,"Great Basin, USA",9,4,sucrose AND mulch,,,3,,relevant,Salsola iberica & kali,exotic annual forb,annual,forb,0,,50,7,7,23.39285714,7.857142857,,54.28571429,9.821428571,,,,,,,,,,,,,
Belnap_1995,FC/H,5,6,31,"Great Basin, USA",12,12,straw,,,1,,relevant,Salsola iberica & kali,exotic annual forb,annual,forb,0,,50,7,7,31.42857143,9.821428571,,54.28571429,9.821428571,,,,,,,,,,,,,
Belnap_1995,SC/S,5,6,32,"Great Basin, USA",12,2,sucrose,30,no,5,30,relevant,Salsola iberica & kali,exotic annual forb,annual,forb,0,,50,7,7,35.53571429,23.92857143,,57.32142857,17.5,,,,,,,,,,,,,
Belnap_1995,SC/M,5,6,33,"Great Basin, USA",6,6,mulch,,,1,,relevant,Salsola iberica & kali,exotic annual forb,annual,forb,0,,50,7,7,76.78571429,31.96428571,,57.32142857,17.5,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,34,"Midwest, USA",3,3,sucrose AND sawdust,84,no,1,84,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,3,6,583.2622221,112.3237792,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,35,"Midwest, USA",3,3,sucrose AND sawdust,133,no,1,133,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,435.2266666,72.79962696,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,36,"Midwest, USA",3,3,sucrose AND sawdust,210,no,1,210,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,463.5466666,51.72748906,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,37,"Midwest, USA",3,3,sucrose AND sawdust,333,no,1,333,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,3,6,362.7333332,42.73145982,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,38,"Midwest, USA",3,3,sucrose AND sawdust,529,no,1,529,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,3,6,375.9422221,21.52178752,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,39,"Midwest, USA",3,3,sucrose AND sawdust,666,no,1,666,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,3,6,515.0888888,66.68931897,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,40,"Midwest, USA",3,3,sucrose AND sawdust,839,no,1,839,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,3,6,498.751111,65.34389091,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,41,"Midwest, USA",3,3,sucrose AND sawdust,1057,no,1,1057,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,348.9199999,72.35257847,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,42,"Midwest, USA",3,3,sucrose AND sawdust,1330,no,1,1330,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,336.9933333,87.05877494,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,43,"Midwest, USA",3,3,sucrose AND sawdust,1675,no,1,1675,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,320.3199999,64.26771297,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,44,"Midwest, USA",3,3,sucrose AND sawdust,2110,no,1,2110,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,349.5566666,87.30751581,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,45,"Midwest, USA",3,3,sucrose AND sawdust,2657,no,1,2657,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,247.7333333,78.1857092,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,46,"Midwest, USA",3,3,sucrose AND sawdust,3346,no,1,3346,relevant,Sinapis arvensis L. (wild mustard),exotic annual forb,annual,forb,,,4,4,6,107.8833333,45.81964752,,473.1844443,59.42810162,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,47,"Midwest, USA",3,3,sucrose AND sawdust,84,no,1,84,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,3,6,583.2622221,112.3237792,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,48,"Midwest, USA",3,3,sucrose AND sawdust,133,no,1,133,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,82.13666665,18.7848066,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,49,"Midwest, USA",3,3,sucrose AND sawdust,210,no,1,210,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,72.12666666,15.11213641,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,50,"Midwest, USA",3,3,sucrose AND sawdust,333,no,1,333,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,3,6,79.27999998,14.0283797,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,51,"Midwest, USA",3,3,sucrose AND sawdust,529,no,1,529,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,3,6,110.9111111,2.71044435,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,52,"Midwest, USA",3,3,sucrose AND sawdust,666,no,1,666,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,3,6,118.9688889,22.54572879,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,53,"Midwest, USA",3,3,sucrose AND sawdust,839,no,1,839,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,3,6,79.45777775,19.55307508,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,54,"Midwest, USA",3,3,sucrose AND sawdust,1057,no,1,1057,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,127.3033333,31.31123114,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,55,"Midwest, USA",3,3,sucrose AND sawdust,1330,no,1,1330,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,159.7533333,17.30881215,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,56,"Midwest, USA",3,3,sucrose AND sawdust,1675,no,1,1675,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,156.57,15.50448,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,57,"Midwest, USA",3,3,sucrose AND sawdust,2110,no,1,2110,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,144.7966666,21.10487701,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,58,"Midwest, USA",3,3,sucrose AND sawdust,2657,no,1,2657,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,207.84,41.41347249,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,59,"Midwest, USA",3,3,sucrose AND sawdust,3346,no,1,3346,relevant,Hibiscus trionum L. (Venice mallow),exotic annual forb,annual,forb,,,4,4,6,288.83,18.97679001,,69.37999998,4.970535702,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,60,"Midwest, USA",3,3,sucrose AND sawdust,84,no,1,84,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,3,6,159.4888888,13.44720559,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,61,"Midwest, USA",3,3,sucrose AND sawdust,133,no,1,133,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,166.2533333,42.69103505,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,62,"Midwest, USA",3,3,sucrose AND sawdust,210,no,1,210,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,165.1233333,32.98276648,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,63,"Midwest, USA",3,3,sucrose AND sawdust,333,no,1,333,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,3,6,87.82222221,43.06587982,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,64,"Midwest, USA",3,3,sucrose AND sawdust,529,no,1,529,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,3,6,127.9511111,50.76708781,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,65,"Midwest, USA",3,3,sucrose AND sawdust,666,no,1,666,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,3,6,92.86666663,24.34207087,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,66,"Midwest, USA",3,3,sucrose AND sawdust,839,no,1,839,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,3,6,94.63555552,18.14476163,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,67,"Midwest, USA",3,3,sucrose AND sawdust,1057,no,1,1057,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,138.68,26.40995154,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,68,"Midwest, USA",3,3,sucrose AND sawdust,1330,no,1,1330,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,139.29,37.21174499,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,69,"Midwest, USA",3,3,sucrose AND sawdust,1675,no,1,1675,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,106.9333333,14.50057775,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,70,"Midwest, USA",3,3,sucrose AND sawdust,2110,no,1,2110,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,124.4366666,30.42287996,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,71,"Midwest, USA",3,3,sucrose AND sawdust,2657,no,1,2657,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,136.6233333,27.34529406,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,72,"Midwest, USA",3,3,sucrose AND sawdust,3346,no,1,3346,relevant,Setaria faberi R. Herrm. (giant foxtail),exotic annual graminoid,annual,graminoid,,,4,4,6,73.77666665,20.64446217,,175.5422222,44.97177025,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,73,"Midwest, USA",3,3,sucrose AND sawdust,84,no,1,84,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,3,6,127.9822222,40.10657678,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,74,"Midwest, USA",3,3,sucrose AND sawdust,133,no,1,133,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,158.2666666,45.06831784,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,75,"Midwest, USA",3,3,sucrose AND sawdust,210,no,1,210,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,83.82333331,11.95965733,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,76,"Midwest, USA",3,3,sucrose AND sawdust,333,no,1,333,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,3,6,105.68,10.45993273,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,77,"Midwest, USA",3,3,sucrose AND sawdust,529,no,1,529,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,3,6,33.22222222,17.41690848,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,78,"Midwest, USA",3,3,sucrose AND sawdust,666,no,1,666,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,3,6,13.08666666,7.553737362,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,79,"Midwest, USA",3,3,sucrose AND sawdust,839,no,1,839,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,3,6,19.15466666,5.765669432,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,80,"Midwest, USA",3,3,sucrose AND sawdust,1057,no,1,1057,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,34.91733332,18.64034973,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,81,"Midwest, USA",3,3,sucrose AND sawdust,1330,no,1,1330,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,13.81166666,6.342872192,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,82,"Midwest, USA",3,3,sucrose AND sawdust,1675,no,1,1675,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,8.296333332,2.91519495,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,83,"Midwest, USA",3,3,sucrose AND sawdust,2110,no,1,2110,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,7.893666665,3.021661567,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,84,"Midwest, USA",3,3,sucrose AND sawdust,2657,no,1,2657,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,13.031,9.678904396,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,85,"Midwest, USA",3,3,sucrose AND sawdust,3346,no,1,3346,relevant,Kochia scoparia (L.) Schrader (kochia),exotic annual forb,annual,forb,,,4,4,6,5.228999999,1.578126256,,136.9977778,27.01140838,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,86,"Midwest, USA",3,3,sucrose AND sawdust,84,no,1,84,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,3,6,15.68844444,5.092526598,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,87,"Midwest, USA",3,3,sucrose AND sawdust,133,no,1,133,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,26.40733333,4.236191074,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,88,"Midwest, USA",3,3,sucrose AND sawdust,210,no,1,210,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,19.11966666,7.085190258,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,89,"Midwest, USA",3,3,sucrose AND sawdust,333,no,1,333,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,3,6,8.33511111,3.498512558,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,90,"Midwest, USA",3,3,sucrose AND sawdust,529,no,1,529,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,3,6,3.83511111,0.250120366,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,91,"Midwest, USA",3,3,sucrose AND sawdust,666,no,1,666,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,3,6,1.837333333,0.230394187,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,92,"Midwest, USA",3,3,sucrose AND sawdust,839,no,1,839,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,3,6,1.936888888,0.876047126,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,93,"Midwest, USA",3,3,sucrose AND sawdust,1057,no,1,1057,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,3.750999999,2.533861019,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,94,"Midwest, USA",3,3,sucrose AND sawdust,1330,no,1,1330,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,3.548333333,1.985367686,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,95,"Midwest, USA",3,3,sucrose AND sawdust,1675,no,1,1675,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,0.837333333,0.19827777,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,96,"Midwest, USA",3,3,sucrose AND sawdust,2110,no,1,2110,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,1.016666667,0.390255187,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,97,"Midwest, USA",3,3,sucrose AND sawdust,2657,no,1,2657,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,0.388,0.065776276,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,98,"Midwest, USA",3,3,sucrose AND sawdust,3346,no,1,3346,relevant, Solanum nigrum L. (black nightshade),exotic annual perennial forb subshrub,annual,forb,,,4,4,6,0.385666667,0.105998427,,24.34888888,4.866926344,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,99,"Midwest, USA",3,3,sucrose AND sawdust,84,no,1,84,relevant,Eriochloa villosa (Thunb.) Kunth. (woolly cupgrass),exotic annual graminoid,annual,graminoid,,,4,3,6,0.440444444,0.246414686,,0.523333333,0.282561773,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,100,"Midwest, USA",3,3,sucrose AND sawdust,133,no,1,133,relevant,Eriochloa villosa (Thunb.) Kunth. (woolly cupgrass),exotic annual graminoid,annual,graminoid,,,4,4,6,0.658666667,0.621892452,,0.523333333,0.282561773,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,101,"Midwest, USA",3,3,sucrose AND sawdust,210,no,1,210,relevant,Eriochloa villosa (Thunb.) Kunth. (woolly cupgrass),exotic annual graminoid,annual,graminoid,,,4,4,6,0.036666667,0.016666667,,0.523333333,0.282561773,,,,,,,,,,,,,
Blumenthal_2003,1999 harvest,6,7,102,"Midwest, USA",3,3,sucrose AND sawdust,333,no,1,333,relevant,Eriochloa villosa (Thunb.) Kunth. (woolly cupgrass),exotic annual graminoid,annual,graminoid,,,4,3,6,0.941333333,0.369028354,,0.523333333,0.282561773,,,,,,,,,,,,,
